date;value
01/01/1948;1.024.209
01/02/1948;948.196
01/03/1948;681.818
01/04/1948;827.273
01/05/1948;938.497
01/06/1948;9.375
01/07/1948;976.158
01/08/1948;90.625
01/09/1948;665.499
01/10/1948;611.087
01/11/1948;477.016
01/12/1948;273.387
01/01/1949;139.358
01/02/1949;101.394
01/03/1949;174.468
01/04/1949;0.41982
01/05/1949;-0.41649
01/06/1949;-0.95238
01/07/1949;-286.885
01/08/1949;-298.813
01/09/1949;-250.411
01/10/1949;-263.266
01/11/1949;-190.397
01/12/1949;-182.952
01/01/1950;-208.247
01/02/1950;-125.471
01/03/1950;-112.923
01/04/1950;-112.876
01/05/1950;-0.58553
01/06/1950;-0.16722
01/07/1950;156.118
01/08/1950;21.097
01/09/1950;248.421
01/10/1950;350.655
01/11/1950;379.747
01/12/1950;580.263
01/01/1951;795.406
01/02/1951;94.028
01/03/1951;947.547
01/04/1951;959.831
01/05/1951;93.395
01/06/1951;858.459
01/07/1951;764.437
01/08/1951;68.595
01/09/1951;69.433
01/10/1951;677.551
01/11/1951;699.187
01/12/1951;596.477
01/01/1952;421.592
01/02/1952;224.545
01/03/1952;197.063
01/04/1952;208.333
01/05/1952;184.686
01/06/1952;231.392
01/07/1952;297.183
01/08/1952;320.959
01/09/1952;230.503
01/10/1952;202.599
01/11/1952;140.578
01/12/1952;0.90669
01/01/1953;0.71834
01/02/1953;0.68156
01/03/1953;0.90944
01/04/1953;0.86924
01/05/1953;0.86891
01/06/1953;0.90464
01/07/1953;0.41229
01/08/1953;0.59948
01/09/1953;0.97634
01/10/1953;0.97415
01/11/1953;0.59948
01/12/1953;0.59903
01/01/1954;112.613
01/02/1954;150.432
01/03/1954;112.655
01/04/1954;0.63694
01/05/1954;0.86142
01/06/1954;0.63504
01/07/1954;0.26129
01/08/1954;0.0
01/09/1954;-0.29751
01/10/1954;-0.85343
01/11/1954;-0.26071
01/12/1954;-0.37216
01/01/1955;-0.63103
01/02/1955;-0.62986
01/03/1955;-0.51987
01/04/1955;-0.26061
01/05/1955;-0.59413
01/06/1955;-0.85375
01/07/1955;-0.3723
01/08/1955;-0.48417
01/09/1955;0.1492
01/10/1955;0.37425
01/11/1955;0.37341
01/12/1955;0.37355
01/01/1956;0.22413
01/02/1956;0.14914
01/03/1956;0.37327
01/04/1956;0.52258
01/05/1956;0.97124
01/06/1956;164.732
01/07/1956;198.057
01/08/1956;220.808
01/09/1956;18.622
01/10/1956;257.271
01/11/1956;234.375
01/12/1956;282.843
01/01/1957;313.082
01/02/1957;349.963
01/03/1957;360.729
01/04/1957;371.333
01/05/1957;358.861
01/06/1957;353.591
01/07/1957;329.791
01/08/1957;355.181
01/09/1957;354.662
01/10/1957;294.438
01/11/1957;327.154
01/12/1957;304.017
01/01/1958;35.056
01/02/1958;323.741
01/03/1958;362.527
01/04/1958;361.618
01/05/1958;335.714
01/06/1958;284.596
01/07/1958;248.315
01/08/1958;23.338
01/09/1958;208.333
01/10/1958;208.333
01/11/1958;190.074
01/12/1958;175.623
01/01/1959;12.919
01/02/1959;10.453
01/03/1959;0.34638
01/04/1959;0.13822
01/05/1959;0.34554
01/06/1959;0.6918
01/07/1959;0.89997
01/08/1959;0.8293
01/09/1959;117.606
01/10/1959;152.196
01/11/1959;138.169
01/12/1959;151.881
01/01/1960;124.095
01/02/1960;141.379
01/03/1960;151.881
01/04/1960;193.237
01/05/1960;182.507
01/06/1960;171.762
01/07/1960;137.221
01/08/1960;147.361
01/09/1960;123.077
01/10/1960;136.286
01/11/1960;146.508
01/12/1960;136.008
01/01/1961;160.027
01/02/1961;146.209
01/03/1961;146.209
01/04/1961;0.91401
01/05/1961;0.91309
01/06/1961;0.77676
01/07/1961;125.212
01/08/1961;111.449
01/09/1961;124.958
01/10/1961;0.77311
01/11/1961;0.67159
01/12/1961;0.67092
01/01/1962;0.67024
01/02/1962;0.90483
01/03/1962;11.059
01/04/1962;134.183
01/05/1962;134.048
01/06/1962;123.995
01/07/1962;100.267
01/08/1962;11.356
01/09/1962;146.765
01/10/1962;133.422
01/11/1962;133.422
01/12/1962;123.292
01/01/1963;133.156
01/02/1963;122.883
01/03/1963;112.695
01/04/1963;0.89374
01/05/1963;0.89286
01/06/1963;132.406
01/07/1963;155.526
01/08/1963;155.218
01/09/1963;0.98619
01/10/1963;121.791
01/11/1963;131.666
01/12/1963;164.582
01/01/1964;164.258
01/02/1964;141.076
01/03/1964;140.937
01/04/1964;154.199
01/05/1964;154.048
01/06/1964;130.676
01/07/1964;107.527
01/08/1964;0.97561
01/09/1964;117.188
01/10/1964;120.325
01/11/1964;139.701
01/12/1964;119.819
01/01/1965;10.989
01/02/1965;119.702
01/03/1965;119.586
01/04/1965;138.934
01/05/1965;161.394
01/06/1965;193.486
01/07/1965;180.529
01/08/1965;161.031
01/09/1965;173.745
01/10/1965;170.308
01/11/1965;173.021
01/12/1965;1.92
01/01/1966;191.816
01/02/1966;255.754
01/03/1966;277.866
01/04/1966;286.807
01/05/1966;276.366
01/06/1966;243.594
01/07/1966;275.491
01/08/1966;348.653
01/09/1966;357.369
01/10/1966;379.147
01/11/1966;355.906
01/12/1966;33.595
01/01/1967;31.995
01/02/1967;286.783
01/03/1967;254.817
01/04/1967;254.027
01/05/1967;231.839
01/06/1967;284.126
01/07/1967;292.758
01/08/1967;260.337
01/09/1967;259.542
01/10/1967;258.752
01/11/1967;310.219
01/12/1967;328.068
01/01/1968;364.742
01/02/1968;363.636
01/03/1968;393.939
01/04/1968;392.749
01/05/1968;422.961
01/06/1968;42.042
01/07/1968;449.102
01/08/1968;447.761
01/09/1968;446.429
01/10/1968;474.777
01/11/1968;442.478
01/12/1968;470.588
01/01/1969;469.208
01/02/1969;467.836
01/03/1969;524.781
01/04/1969;552.326
01/05/1969;550.725
01/06/1969;54.755
01/07/1969;544.413
01/08/1969;542.857
01/09/1969;569.801
01/10/1969;566.572
01/11/1969;59.322
01/12/1969;589.888
01/01/1970;616.246
01/02/1970;642.458
01/03/1970;609.418
01/04/1970;606.061
01/05/1970;604.396
01/06/1970;601.093
01/07/1970;570.652
01/08/1970;569.106
01/09/1970;566.038
01/10/1970;563.003
01/11/1970;5.6
01/12/1970;557.029
01/01/1971;527.704
01/02/1971;472.441
01/03/1971;443.864
01/04/1971;415.584
01/05/1971;440.415
01/06/1971;438.144
01/07/1971;437.018
01/08/1971;435.897
01/09/1971;408.163
01/10/1971;380.711
01/11/1971;353.535
01/12/1971;326.633
01/01/1972;325.815
01/02/1972;37.594
01/03/1972;3.5
01/04/1972;349.127
01/05/1972;322.581
01/06/1972;296.296
01/07/1972;295.567
01/08/1972;29.484
01/09/1972;318.627
01/10/1972;317.848
01/11/1972;341.463
01/12/1972;340.633
01/01/1973;364.078
01/02/1973;386.473
01/03/1973;483.092
01/04/1973;53.012
01/05/1973;552.885
01/06/1973;59.952
01/07/1973;574.163
01/08/1973;739.857
01/09/1973;736.342
01/10/1973;805.687
01/11/1973;825.472
01/12/1973;894.118
01/01/1974;960.187
01/02/1974;10.0
01/03/1974;1.013.825
01/04/1974;1.006.865
01/05/1974;1.070.615
01/06/1974;1.085.973
01/07/1974;1.153.846
01/08/1974;1.088.889
01/09/1974;119.469
01/10/1974;1.184.211
01/11/1974;1.220.044
01/12/1974;1.209.503
01/01/1975;1.175.214
01/02/1975;1.120.507
01/03/1975;1.046.025
01/04/1975;1.018.711
01/05/1975;925.926
01/06/1975;918.367
01/07/1975;953.347
01/08/1975;861.723
01/09/1975;790.514
01/10/1975;764.706
01/11/1975;737.864
01/12/1975;712.909
01/01/1976;669.216
01/02/1976;627.376
01/03/1976;606.061
01/04/1976;584.906
01/05/1976;621.469
01/06/1976;598.131
01/07/1976;555.556
01/08/1976;571.956
01/09/1976;549.451
01/10/1976;546.448
01/11/1976;506.329
01/12/1976;503.597
01/01/1977;519.713
01/02/1977;608.229
01/03/1977;642.857
01/04/1977;695.187
01/05/1977;673.759
01/06/1977;670.194
01/07/1977;666.667
01/08/1977;663.176
01/09/1977;642.361
01/10/1977;639.033
01/11/1977;671.256
01/12/1977;667.808
01/01/1978;681.431
01/02/1978;623.946
01/03/1978;637.584
01/04/1978;6.5
01/05/1978;714.286
01/06/1978;743.802
01/07/1978;773.026
01/08/1978;785.597
01/09/1978;848.287
01/10/1978;892.857
01/11/1978;887.097
01/12/1978;898.876
01/01/1979;92.504
01/02/1979;984.127
01/03/1979;1.025.237
01/04/1979;1.048.513
01/05/1979;1.069.767
01/06/1979;1.107.692
01/07/1979;1.145.038
01/08/1979;1.183.612
